Unnamed: 1_level_0 Player
Rodrigo Abajas
Nabil Aberdin
Abdel Abqar
Akor Adams
Adrián
Julen Agirrezabala
Lucien Agoume
Álvaro Aguado
Lorenzo Aguado
Nayef Aguerd
Joseph Aidoo
Joseph Aidoo
Ilias Akhomach
David Alaba
Ibrahim Alani
Raúl Albiol
Omar Alderete
Carles Aleñá
Carles Aleñá
Alfon
Tadeo Allende
Domingos André Ribeiro Almeida
Iker Almena
Marcos Alonso
Player
Adrià Altimira
Sergi Altimira
Hugo Álvarez
Julián Álvarez
Yeray Álvarez
Selim Amallah
Amath
Marcos André
Leandro Antonetti
Antoniu
Antony
Anuar
Aritz Arambarri
Mauro Arambarri
Jon Aramburu
Ronald Araújo
Adu Ares
Jesús Areso
David Argüelles
José Arnaiz
Sergio Arribas
Takuma Asano
Raúl Asencio
Iago Aspas
Yaser Asprilla
Ezequiel Ávila
Adam Aznou
César Azpilicueta
Papa Ba
Loïc Bade
Alex Baena
Eric Bailly
Stefan Bajcetic
Cédric Bakambu
Alejandro Balde
Iván Balliu
Jonathan Bamba
Adrian Baquerin
Valentín Barco
Borna Barišić
Kike Barja
Enzo Barrenechea
Ander Barrenetxea
Pablo Barrios
Thierno Barry
Marc Bartra
Aboubacar Bassinga
Augusto Batalla
Rafael Bauza
Sheraldo Becker
Donny van de Beek
Luken Beitia
Ismael Bekhoucha
Héctor Bellerín
Jude Bellingham
Fran Beltrán
Carlos Benavídez
Iker Benito
Yuri Berchiche
Álex Berenguer
Marc Bernal
Juan Bernat
Juan Bernat
Juan Berrocal
Antonio Blanco
Daley Blind
Adama Boiro
Enzo Boyomo
Enzo Boyomo
Darko Brašanac
Abel Bretones
Tajon Buchanan
Ante Budimir
Manu Bueno
Endika Buján
Pau Cabanes
Pau Cabanes
Leandro Cabrera
Fernando Calero
Eduardo Camavinga
Sergio Camello
José Campaña
Peio Canales
Antonio Candela
Sergi Canós
Dani Cárdenas
Irvin Cardona
Marc Cardona
Sergi Cardona
Johnny Cardoso
José Carlos González
Carmona
Sergio Carreira
Dani Carvajal
William Carvalho
Marc Casado
Catena
Maximiliano Caufriez
Dani Ceballos
Franco Cervi
Raúl Chasco
Pep Chavarría
Walid Cheddira
Chema
Julián Chicco
Chiquinho
Andreas Christensen
Jasper Cillessen
Pathé Ciss
Seydouba Cissé
Silvi Clúa
Eray Cömert
Santi Comesaña
Diego Conde
Tomás Conechny
Copete
Iker Córdoba
