Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,Total_Goals,Assits,G+A,Goal_without_Penalties,Penalty_Goals,Total_Penalties_Atemptted,Weekly Wages,Annual Wages
1,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,10,824,0,0,0,0,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
2,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,0,0,0,0,0,0,"PS 120,000 (EUR 142,170, $146,550)","PS 6,240,000 (EUR 7,392,822, $7,620,614)"
3,Aaron Wan-Bissaka,cd COD,DF,West Ham,26,1997,36,35,3154,2,5,7,2,0,0,"PS 90,000 (EUR 106,627, $109,913)","PS 4,680,000 (EUR 5,544,616, $5,715,460)"
4,Abdoulaye Doucoure,ml MLI,MF,Everton,31,1993,33,31,2564,3,2,5,3,0,0,"PS 130,000 (EUR 154,017, $158,763)","PS 6,760,000 (EUR 8,008,890, $8,255,665)"
5,Abdukodir Khusanov,uz UZB,DF,Manchester City,20,2004,6,6,503,0,0,0,0,0,0,"PS 20,000 (EUR 23,699, $26,849)","PS 1,040,000 (EUR 1,232,348, $1,396,151)"
6,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,20,15,1248,2,2,4,2,0,1,"PS 60,000 (EUR 71,085, $73,275)","PS 3,120,000 (EUR 3,696,411, $3,810,307)"
7,Adam Lallana,eng ENG,MF,Southampton,36,1988,14,5,361,0,2,2,0,0,0,"PS 45,000 (EUR 53,314, $54,956)","PS 2,340,000 (EUR 2,772,308, $2,857,730)"
8,Adam Smith,eng ENG,DF,Bournemouth,33,1991,25,19,1590,0,0,0,0,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
9,Adam Webster,eng ENG,DF,Brighton,29,1995,14,11,887,0,0,0,0,0,0,"PS 55,000 (EUR 65,161, $67,169)","PS 2,860,000 (EUR 3,388,377, $3,492,781)"
10,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,20,16,1318,0,2,2,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
11,Adama Traore,es ESP,"FW,MF",Fulham,28,1996,36,18,1772,2,7,9,2,0,0,"PS 65,000 (EUR 77,009, $79,381)","PS 3,380,000 (EUR 4,004,445, $4,127,832)"
